Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
02-06-2023,610,Si trắng,1 bông 7p2,7p12,,50,,144c316
02-06-2023,610,Si 2-3 màu,2 bông 1c582,1c566,,110,,144c316
02-06-2023,610,Si 2-3 màu,1 vòng 1c726,1c724,,250,,144c316
02-06-2023,610,Si 2-3 màu,4 dây 19c2,19c15,,1500,,144c316
02-06-2023,610,Si 2-3 màu,6 lắc 31c046,30c95,,1300,,144c316
02-06-2023,Ý,Si trắng,6 mặt 2c27,2c24,,210,,144c316
02-06-2023,Ý,Si trắng,3 lắc 4c374,4c354,,400,,144c316
02-06-2023,Ý,Si trắng,14 dây 21c612,21c544,,2200,,144c316
02-06-2023,416,Si trắng,10 dây 12c15,12c116,,550,,144c316
02-06-2023,416,Si trắng,3 lắc 3c776,3c762,,350,,144c316
02-06-2023,416,Si trắng,11 mặt 4c986,4c93,,480,,144c316
02-06-2023,416,Si trắng,10 bông 5c41,5c332,,450,,144c316
02-06-2023,416,Si trắng,19 nhẫn 16c148,15c984,,1050,-1 -5p88,144c316
02-06-2023,Ý,Si trắng,9 nhẫn 12c052,11c874,,560,-1 -2c3 ( rớt hột),144c316
02-06-2023,Ý,Si trắng,10 bông 7c268,7c222,,560,-2 -3c9 (ố),144c316
