Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
12-05-2023,610,Si 2-3 màu,3 dây 11c684,11c666,,,,0c
12-05-2023,610,Si 2-3 màu,7 lắc 8c226,8c196,,,,0c
12-05-2023,610,Si 2-3 màu,3 mặt 2c808,2c782,-1 -1c984,,,0c
12-05-2023,610,Si 2-3 màu,2 bông 2c582,2c58,,,,0c
12-05-2023,Ý,Si trắng,8 dây 30c258,30c126,,,,0c
12-05-2023,Ý,Si trắng,16 mặt 11c56,11c452,,100.0,,0c
12-05-2023,Ý,Si trắng,3 lắc 8c1,8c076,,,,0c
12-05-2023,Ý,Si trắng,21 bông 13c432,13c234,,,,0c
12-05-2023,Ý,Si trắng,9 nhẫn 12c126,12c042,,,,0c
12-05-2023,416,Si trắng,5 dây 7c592,7c558,,,,0c
12-05-2023,416,Si trắng,2 lắc 6c562,6c444,,,,0c
12-05-2023,416,Si trắng,41 mặt 16c572,16c496,,,,0c
12-05-2023,416,Si trắng,14 bông 7c214,7c102,,,,0c
12-05-2023,416,Si trắng,16 nhẫn 18c866,18c714,,,,0c
12-05-2023,416,Si trắng,1 vòng 1c442,1c412,,,,0c
