Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
19-05-2023,750,Si trắng,2 nhẫn cưới xoàn 1c774,1c754,,50,,0c
19-05-2023,750,Si hồng,2 nhẫn cưới xoàn 1c43,1c424,,40,,0c
19-05-2023,610,Si trắng,1 dây 2c,1c998,,250,,0c
19-05-2023,610,Si 2-3 màu,4 nhẫn 8c268,8c236,,280,,0c
19-05-2023,610,Si 2-3 màu,5 lắc 6c722,6c708,,660,,0c
19-05-2023,Ý,Si trắng,1 vòng 4c166,4c142,,260,,0c
19-05-2023,Ý,Si trắng,14 nhẫn 18c08,17c862,,850,,0c
19-05-2023,Ý,Si trắng,18 bông 10c822,10c766,,900,,0c
19-05-2023,Ý,Si trắng,11 mặt 7c756,7c678,,600,,0c
19-05-2023,Ý,Si trắng,10 lắc 23c454,23c382,,1800,,0c
19-05-2023,Ý,Si trắng,15 dây 34c672,34c6,,3260,,0c
19-05-2023,416,Si trắng,3 vòng 11c738,11c698,,900,,0c
19-05-2023,416,Si trắng,13 nhẫn 6c91,6c78,,600,,0c
19-05-2023,416,Si trắng,11 bông 5c552,5c428,,550,,0c
19-05-2023,416,Si trắng,13 mặt 4c222,4c144,,450,,0c
19-05-2023,416,Si trắng,4 lắc 6c03,5c952,,750,,0c
19-05-2023,416,Si trắng,6 dây 5c53,5c494,,750,,0c
