Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
05-05-2023,610,Si 2-3 màu,5 lắc 14c236,14c2,,100,,0c
05-05-2023,610,Si 2-3 màu,10 dây 15c523,15c5,,100,,0c
05-05-2023,610,Si 2-3 màu,20 mặt 10c222,10c2,,150,,0c
05-05-2023,610,Si 2-3 màu,35 nhẫn 30c132,30c1,,300,,0c
05-05-2023,Ý,Si trắng,20 bông 11c024,11c,,200,,0c
05-05-2023,Ý,Si trắng,25 mặt 13c123,13c1,,200,,0c
05-05-2023,Ý,Si trắng,25 nhẫn 30c522,30c5,,300,,0c
05-05-2023,416,Si trắng,5 vòng 10c222,10c2,,350,,0c
05-05-2023,416,Si trắng,15 mặt 12c423,12c4,,200,,0c
05-05-2023,416,Si trắng,22 dây 15c921,15c9,,250,,0c
